Alemannic,German,Is translation acceptable?
andere,andernorts,yes
baselbiet,landschaft,no
si,aufbrachen,no
spiil,begegnungen,no
fäll,vergriffenen,no
links,rechten,no
das,baha'dieses,no
schuel,matura,no
sunne,uräusschlange,no
dr,max,no
eifach,touristischen,no
mä,mährisch,yes
goht,führen,no
sidweschte,äußersten,no
wort,ungarischen,no
bärndütsch,mattenenglischen,yes
bezirk,wahlbezirk,yes
wytere,einarbeiten,no
hèt,teilte,no
süde,südwesten,no
schrybt,publiziert,yes
atlantik,atlantiks,yes
dr,leiteten,no
gschickt,entsandt,no
brueder,blasphemien,no
brichtet,ablegt,no
usser,davon,no
inschrift,steintafel,no
in,gehörende,no
bundesland,rheins,
griechische,erhobenen,no
uusgstorbe,außer,no
erschte,bedeutendere,no
brocht,stellung,no
füf,verdrängt,no
zweiti,moderne,no
gherrscht,herrschende,yes
dodemit,somit,yes
schwiiz,metropolregionen,no
ortsname,namensstifter,no
soziali,sozial,yes
herre,oberhoheit,no
entschide,verzichtet,no
produkt,exportprodukte,yes
wahrschyns,mutmaßlich,yes
findet,treten,no
verlangt,geforderter,no
brasilie,norditalien,no
wichdigste,großteil,yes
gsellschaft,ernährung,no
bezirk,amtsbezirks,no
de,vermittelte,no
glychzytig,ndizeye,no
syte,uster,no
vun,nachdem,no
gmacht,trafen,no
worde,weigerten,no
goht,basiert,no
zwüsche,vertragsmächte,no
git's,existiert,yes
ghaa,einging,yes
brueder,merian,no
technischi,technische,yes
derno,anschliessend,yes
verwaltung,verwaltungsgemeinschaft,yes
b,beispielsweise,no
uf,einerseits,no
wyteri,weitere,yes
leo,leos,idk
hauptsproch,portugiesischsprachig,no
owerelsàss,ribeauvillé,idk
verwaltongsgmoeschaft,vereinbarte,no
denn,schließlich,no
diräkt,unmittelbar,yes
gschaffet,arbeitete,yes
wore,festgelegt,no
nazi,nationalsozialisten,no
lyt,persönlichkeiten,no
erschte,schenkungsurkunde,no
gmäind,politische,no
as,bezeichnung,no
iiwohner,bevölkerungsreichste,no
fryburg,stuttgart,no
name,bürgerlich,no
diè,beiden,no
gwehlt,gültigen,no
em,europameisterschaft,yes
zrugg,zurückkehrte,no
si,erhielten,no
veröffentligt,erschien,no
jura,rechtswissenschaften,yes
in,anfang,no
jedi,jeweils,no
gmacht,teil,no
als,bezeichnungen,no
noch,offiziell,no
gmeinde,verwaltungseinheit,yes
emol,ehemals,yes
andere,gegenüberliegenden,no
zämmegfasst,bezeichnet,no
z,herbeizuführen,no
komflikt,auseinandersetzungen,yes
byzantinische,byzanz,no
macht,gibt,yes
jura,rechtswissenschaft,yes
verwändet,verwendung,no
dütlig,verdeutlicht,no
allerdings,bereits,no
wahle,kreisversammlungen,no
wahl,präsidentschaftswahlen,yes
alemannische,französischsprachigen,no
name,sogenannten,no
könig,unterwerfung,no
amerikanischi,eng,no
bhalte,bewahren,yes
bim,hinsichtlich,no
bezäichnet,identifizierung,no
name,gleichzusetzen,no
konsonante,konsonantenbuchstaben,yes
bsundere,insbesondere,yes
vill,zahlreiche,yes
nu,jedoch,no
vor,gelegentlich,no
ortschafte,stadtbezirken,yes
veräinigte,unabhängigkeitserklärung,no
meer,apenninenhalbinsel,no
zämmegschlosse,eingemeindet,yes
metall,metallverarbeitung,no
vu,nordnordwestlich,no
ass,bezeichnete,no
antike,keltiberische,idk
wäge,dementsprechend,no
wore,zugeschlagen,no
frankoprovenzalisch,stand,no
grescht,zweitgrößte,no
erschte,unabhängige,no
gsi,teilgenommen,no
die,the,no
häi,unterzeichneten,no
häi,veröffentlichten,no
entstande,entsteht,no
schrift,dissertation,yes
schwyzer,hochschullehrer,no
gwohnt,niedergelassen,no
große,bedeutenden,no
gsellschaft,forschungseinrichtung,no
unterelsàss,reichshoffen,idk
si,erlebten,no
ungarn,habsburgermonarchie,no
git,verfügt,no
händ,verweigerten,no
hauptsächlich,überwiegend,yes
sini,marleys,idk
hèn,verwüsteten,no
sunne,planeten,no
fertig,endgültig,no
uff,eigenbezeichnung,no
gschicht,geschichtswissenschaft,yes
hüfig,fälschlicherweise,no
gee,auftreten,no
grosse,weiten,yes
gee,ereignete,no
gee,ergab,no
gschicht,germanistik,no
i,daiichi,idk
gee,bedachte,no
gee,bemüht,no
gee,angenommen,no
gee,existierende,no
gege,geworfen,no
iberchuu,verliehen,yes
iberchuu,worden,no
gege,führten,no
gschicht,konflikten,no
grösser,erhöht,yes
gee,erwirkte,no
gege,kämpften,no
gege,richtete,no
turm,kirchturm,yes
dõdeby,hierbei,yes
gregorianische,gregorianischer,yes
