Swiss German,German,Meaning,Factual similarity,Grammar differs?,Reasons?
"S wichtigst Hailigtum vonnere isch uf de Insle Samos, vereert werd si aber vor alem uf de Peloponnes.",Dieser Baum stand am Altar im Heraion von Samos und wurde unter anderem von Pausanias beschrieben.,2,n/a,FALSE,"wichtigst Hailigtum
= Heraion von Samos"
S Woahrzeicha vom Bezirk isch d Herz-Jesu-Kirch.,Heute spielt die erste Mannschaft in der Kreisklasse Augsburg Mitte.,2,n/a,FALSE,"Bezirk is part 
of Augsburg"
Sa gheert jetz zu Barnwiller.,"Die Nachbargemeinden von Ammertzwiller waren Burnhaupt-le-Bas im Norden, Bernwiller im Osten, Balschwiller im Süden sowie Gildwiller im Westen.",2,n/a,FALSE,
"Saint-Thuriau isch syter anne 1839 e aigeständigi Gmai, dervor het s zue Noyal-Pontivy ghert.",Saint-Thuriau liegt im Norden des Départements Morbihan und gehört zum Pays de Pontivy.,2,n/a,FALSE,
Sälle Fäldzug hät vum 2. April bis zum 21. Mai 1849 duurt.,Der Krieg zwischen Österreich und Ungarn begann damit offiziell am 3. Oktober 1848.,2,n/a,FALSE,
Schöni Gedicht vo Schriftsteller wärde vo Komponischte verdoont und mit Liederbüecher bekant gmacht.,Die Paarung von Klavier und Gesang sind typisch für das Kunstlied.,2,n/a,FALSE,
"Sèllè Vorteil gegèübber m Drèèventyl isch abber au nötig, well s Bumpventyl dütlich öfter mit dünnflüssigem Ventylöl ydulft wörrè muè.",Es sind grundsätzlich so wenig Ventile wie möglich zu benutzen.,2,n/a,FALSE,
"Si beträffe etwa 3 Prozänt vo de Wörter und werre vo de Académie française sälber «freiwillig» gnennt, allerdings empfohle.",In vielen afrikanischen Ländern wird Französisch als Zweitsprache gelernt und auch als Amtssprache verwendet (siehe auch Frankophones Afrika).,2,n/a,FALSE,
Si git au religiese Aagebot un Sproch- un Computerkurs.,Zudem können sie sich sportlich betätigen oder sich Sprach- oder Computerkenntnisse aneignen.,2,Different details,FALSE,
Sid 1782 isch dr Pater Plazid Pfaarer am Lukmanierpass gsi.,So kam Pater Spescha 1801 auf das Benefizium Rumein im Lugnez.,2,n/a,FALSE,
Sii isch de nördlig Deil vom Stadtzentrum (nit vom ganze Ort Löörech).,Lörrach ist eine Kreisstadt im Südwesten Baden-Württembergs.,2,n/a,FALSE,
Sils lyt gägenüber vu Thusis und gränzt au as Schams mit dr Gmäind Zillis-Räischä.,Sils wird von Buslinien der Postauto Graubünden bedient.,2,n/a,FALSE,
"Sin Noofolger bis 1927 isch de Eugen Bleuler gsii, wo sich bsundrigs mit de Schizophrenii beschäftiget het.",Bei einem Vergleich mit seinen Nachfolgern ragen besonders Auguste Forel (Direktor 1879–1898) und Eugen Bleuler (Direktor 1898–1927) heraus.,2,n/a,FALSE,
Sit Mai 2014 stürt au AirBridgeCargo de Flughafen Münche viermal wöchentlich mitre Boeing 747-8 direkt aa.,Am 27. Januar 2012 erhielt AirBridgeCargo als eine der ersten Fluggesellschaften die neue Boeing 747-8F.,2,n/a,FALSE,
So send en de 50er Johr noh an Haufa andre Hoimetfilm em Schwarzwald dreht worra.,Schwarzwaldmädel ist eine deutsche Operettenverfilmung aus dem Jahr 1950.,2,n/a,FALSE,
Sy Frau Martina geb. Willeke isch Diplomsozialpädagogin un schafft as Personal Coach.,Anschließend wurde er Mitarbeiter des Regierenden Bürgermeisters von Berlin Richard von Weizsäcker und ab 1984 von Eberhard Diepgen (CDU).,2,n/a,FALSE,
"Touristeattraktione sin vor allem de Öreg-See (ungarisch ""Öreg-tó""), s Donaukny und di bewaldete Bärg.",Die Donau bildet die Nordgrenze.,2,n/a,FALSE,
Trainer sit em Juli 2018 esch de René Weiler.,Am 17. Februar 2019 wurde René Weiler nach Differenzen in der sportlichen Entwicklung entlassen.,2,n/a,FALSE,
Uf Norde goht d Stross iber dr Nordkamm vum Kaiserstüehl uf Kiechlinsbärge ab.,Das Dorf liegt inmitten des Weinanbaugebiets Kaiserstuhl in der Oberrheinischen Tiefebene.,2,n/a,FALSE,
"Ungarn hät numme wenig natürligi Ressource (Bauxit, Kohle und Erdgas), fruchtbari Böde und landwirtschaftligi Nutzfläche.",Ungarn hat im Verhältnis zu anderen Osteuropäischen Ländern eine vergleichsweise geringe Industrieproduktion.,2,n/a,FALSE,
"Verschideni römischi Usgrabige chamer under freiem Himmel besichtige, zum Bispiil ein vode wichtigste Brunne im Wohnquartier über de Chile.",Vitudurum ist eine der wichtigsten archäologischen Fundstellen aus der Römerzeit im Kanton Zürich.,2,n/a,FALSE,
Vo 1496 het er z Bologna wältligs und geischdligs Rächt schdudiert.,1495 wurde Kopernikus zum Kanoniker der ermländischen Domschule in Frauenburg ernannt.,2,n/a,FALSE,
"Vo Afangs 19. Johrhundert gits vo Gränche es Gmäld vom Martin Disteli, wo es witgehend offnigs Gebiet zeigt, praktisch unbebaut.",Anfang des 14. Jahrhunderts gab man die Burg endgültig auf und überliess sie dem Zerfall.,2,n/a,FALSE,castle is in Gränche
"Vo de Gmäändsflechi sönd 62,1 % landwertschaftlechi Flechi, 25,9 % Wald, 10,6 % Sidligsflechi ond 1,3 % suschtigi Flechi.",2005 stellte der Agrarsektor 13 Prozent und die Industrie 52 Prozent der Arbeitsplätze in der Gemeinde.,2,n/a,FALSE,meaning 1 or 2
Vo dr 916 Aiwohner sin im Johr 2001 114 Ausländer gweacha.,Im Jahr 2011 lebten fast 400 Erwerbstätige in Wängle.,2,n/a,FALSE,
"Vo dr Gmarkung sin 60,4 % Landwirtschaftsfleche, 26 % Wald, 11,1 % Sidlungsfleche un 2,4 % sunschtige Fleche.","1999 bestanden zudem 133 landwirtschaftliche Betriebe mit einer landwirtschaftlich genutzten Fläche von 3414 ha, davon waren 3406 ha Dauergrünfläche.",2,n/a,FALSE,
Vo sim Elterehuus isch er en Hindu und sin Vatter isch en hochfromme Aahänger vom Shiva gsii.,"Swami ist ein hinduistischer Ehrentitel, der von Mönchen und Nonnen getragen wird und bedeutet „Meister“.",2,n/a,FALSE,
"Völkerball (au ""Völk"" oder ""Völki"") isch es beliebts Hallespiil, womer im schwiizer und ou im ländleaner Sportunterricht viel spiilt.","Spökboll (schwedisch für ""Geisterball"") ist die schwedische Variante des Völkerballs.",2,n/a,FALSE,
"Vomischlet mit Stärki, Agar, Anis, Fenchel, Pektyn un deilwys Salmiak wörred diè normalè Bärèdrèckwariationè gmacht.",In der Kombination mit Ammoniumchlorid und Anisöl wird Süßholzwurzelextrakt zu Salmiakpastillen verarbeitet.,2,n/a,FALSE,"Bäredreck is 
made out of 
Süßholzwurzel"
Vorher händ d Gmeinde zum Bezirk Züri ghört.,"Bis 2008 verfügte Dietikon nicht über ein eigenes Bezirksgericht, zuständig war das Bezirksgericht Zürich.",2,Different details,FALSE,
"Vu 1939 bis 1945 het Quart dr italienisiert Name ""Quarto Pretoria"" drait.",Im Mittelalter war der Ort Sitz des Herrschaftsgebiets Quart. Die Pfarrkirche ist erstmals im 12. Jahrhundert erwähnt.,2,n/a,FALSE,
Vu 1978 bis 2000 ìsch’r Bischoof vun Évry-Corbeil-Essonnes gsìì.,Ab 1972 war Guy Herbulot Generalvikar des Erzbistums Reims und Koordinator für die Pastoral in der Stadt Reims.,2,n/a,FALSE,
Vu do uus hänn speter franzesischi Offizier un Unteroffizier mithilf vu afrikanische Seldner di kolonial Eroberig vu dr Elfebeikischte aagfange.,Allerdings ist seit der französischen Kolonialzeit die einzige Amts- und Unterrichtssprache des Landes Französisch.,2,n/a,FALSE,
Vun 1871 bìs 1918 han d Gmeine zem ditsche Richslànd Elsàss-Lothringe ghert.,Die heutige Gemeinde entstand am 1. Januar 1975 durch die Fusion der Gemeinden Scharrachbergheim und Irmstett.,2,n/a,FALSE,
Vun 1871 bìs 1918 hàt d Gmein zem ditsche Richslànd Elsàss-Lothringe ghert.,Vor 1272 war die bischöflich-straßburger Hälfte des Dorfes an Lichtenberg verpfändet.,2,n/a,FALSE,
Vun 1871 bìs 1918 hàt sa zem ditsche Richslànd Elsàss-Lothringe ghert.,Er wurde 1766 zusammen mit Lothringen Frankreich einverleibt.,2,n/a,FALSE,
Während siinere Amtsziit isch er em Militärdepartement vorgschtande.,In der schweizerischen Armee stieg er bis zum Rang eines Obersten auf.,2,n/a,FALSE,
"Wänn mär also immer s' glichä Passwort brucht gha het, chan jedä met äim Sicherthäitselemänt uf alli Konti zuägriffä.",Typischerweise wird ein konstantes Passwort genutzt und dieses zusammen mit etwas Dienstspezifischem gehashed.,2,n/a,FALSE,
"Weiler hot sich mit dr Gmoe Lẽnnenge ond dr Stadt Aoe zom ""Gmoeverwaltongsverband Lẽnnenge"" mit Sitz en Lẽnnenge zammegschlosse.",Die Kirchengemeinde umfasst die Gemeinde Erkenbrechtsweiler und seit 2004 auch den Ortsteil Hochwang der Gemeinde Lenningen.,2,n/a,FALSE,
"Welli vu sälle Energi- oder Drillimpulsforme fer e bestimmts Planet-Mo-System vu Bedütig sin, hängt vu dr Umstände ab.",Die Gezeitenkräfte bewirken eine Verformung ausgedehnter Körper oder Systeme.,2,n/a,FALSE,
Wie dr Adel het au dr Klerus siini Privilegie verlore.,"Bei der Wahrung ihrer Privilegien und Interessen waren sie aber nicht weniger engagiert als der alteingesessene Schwertadel ""(noblesse d’épée)"".",2,n/a,FALSE,
"Wil das nid glunge sig, heig dr Statthalter d Agate vor s Gricht zitiert und mid ere dischgeriert.","Als man dies bemerkte, ließ der Statthalter Agatha auf glühende Kohlen legen, wodurch sie starb.",2,n/a,FALSE,
"Wirtschaftlich wichtig isch d ""Region Adjara"" an dr türkische Gränze mit dr Hafestadt Batumi (130.000 Iiwohner).","Mehr als ein Viertel der Bevölkerung lebt in der Hauptstadtregion um Tiflis, weitere große Städte sind Batumi, Kutaissi und Rustawi.",2,n/a,FALSE,
"Wolfschluaga håd drei Kircha: a Evangelische Kirch, a Katholischa Kirch ond a Nuiapostolischa Kirch.",In Wolfschlugen gibt es einen kirchlichen und drei nicht konfessionelle Kindergärten mit insgesamt zehn Gruppen.,2,n/a,FALSE,
"World of Warcraft knüpft an d Gschicht vom 2003 erschinene Titel ""Warcraft III: The Frozen Throne"" aa.","World of Warcraft, abgekürzt WoW, ist ein über das Internet spielbares Computer-Rollenspiel (MMORPG) des US-amerikanischen Spielentwicklers Blizzard Entertainment.",2,n/a,FALSE,
"Z Budapest hät's au mehreri Heilbeder; es isch eini vu de wenige Hauptstedt, wu Thermalquälle z finde sin.",Zusammen mit dem Gellért-Bad zählt es zu den bekanntesten der Budapester Thermalbäder.,2,n/a,FALSE,
Z Dütschland und Östriich brucht mä dr Begriff «Natel» nit.,"Insgesamt stellt das Wort «Natel» sowohl innerhalb der deutschen Standardsprache, wie auch im Französischen und Italienischen einen Helvetismus dar.",2,n/a,FALSE,
Zeerscht het d Max Havelaar-Stiftig ufe rächt Handel vom Kafi gluegt.,Die Stiftung wurde nach der Romanfigur „Max Havelaar“ benannt.,2,Different details,FALSE,
Zua Mengermerberg ghered au no s Dorf Künersberg.,"Der Engelshalskrug steht für den Ort Künersberg, der im Gemeindegebiet liegt.",2,Different details,FALSE,
"Zua Oberriada ghered d Derfer Oberriada, Hohenreuten, Mittelrieden, Ohnsang ond Unterrieden ond dr Weiler Spitzisbui.",Oberrieden ist eine Gemeinde im schwäbischen Landkreis Unterallgäu.,2,n/a,FALSE,
Zue de Gmiin Chliibö̀singe ghööre o d Sidlige Grueneburg ù Riedacher.,"Nachbargemeinden von Kleinbösingen sind Gurmels, Düdingen und Bösingen im Kanton Freiburg sowie Kriechenwil im Kanton Bern.",2,n/a,FALSE,
"Züe dr Gmein gehre d Ortsdeil Basse-Guénange (""Niederginingen"") und Haute-Guénange (""Oberginingen"").","Basse-Guénange (""Niederginingen"") liegt direkt an der Mosel, Haute-Guénange (""Oberginingen"") landeinwärts.",2,Different details,FALSE,
Zue Guadazäll-Hirbl gheret d Ortsdoel Gutenzell ond Hürbel.,Gutenzell-Hürbel liegt an der Oberschwäbischen Barockstraße und an der Mühlenstraße Oberschwaben.,2,n/a,FALSE,
Zum Oberybrig ghörd au nu s Schigebiät Houchybrig im Hessisbohl.,Oberiberg ist eine politische Gemeinde im Bezirk Schwyz des Kantons Schwyz in der Schweiz.,2,n/a,FALSE,
Zwische dr Aahänger vu däne baide Identitetsverständnis het s im Russischen Rych um d Johrhundertwändi ne regelrächte Kulturkampf gee.,Mit der 988 erfolgten griechisch-orthodoxen Christianisierung der Rus begann ein bemerkenswerter kultureller Aufschwung.,2,n/a,FALSE,
1374 het s Chlooschter am Pass obe es Hoschpyz ygrichtet.,1374 errichtete das Kloster unterhalb der Passhöhe ein der heiligen Maria geweihtes Hospiz.,3,The dialect sentence misses details,TRUE,
1398 isch me mit ere fertig worde.,1398 war der Bau der Äusseren Stadtmauer vollendet.,3,The dialect sentence misses details,TRUE,
"1403 isch Balenga no an de Würtaberger vrkauft worra, wo se na zor Amtsschtadt gmacht hend.","1403 gelangte Balingen durch Kauf an Württemberg (siehe ""Die Sage vom Hirschgulden""); die Stadt wurde bald Sitz eines Amtes.",3,The dialect sentence misses details,FALSE,
1515: Nach de sehr offensiv und aggressiv gfüehrte Mailänderzüg erlide d Eidgenosse bi Marignano en vernichtendi Niiderlag.,Nach der Niederlage gegen Frankreich in der Schlacht bei Marignano 1515 endete die militärische Dominanz über Oberitalien.,3,Different details,FALSE,
1621 gits aaschinend e Dorfrächt.,"Das Dorfrecht, 1621 erwähnt, regelte die innere Ordnung.",3,The dialect sentence misses details,FALSE,
"1810 isch er am Bambärger Theater Diräkzionsghilf, Dramaturg und Dekorazionsmooler gsi.","Von 1810 an war Hoffmann beim Bamberger Theater als Direktionsgehilfe, Dramaturg und Dekorationsmaler beschäftigt.",3,The dialect sentence misses details,TRUE,missing details changes meaning
1831 het er d Natalja Gontscharowa ghürootet.,Einen Wechsel in Puschkins Lebensumständen bewirkte seine Heirat mit Natalja Gontscharowa 1831.,3,The dialect sentence misses details,TRUE,
1901 si us dr Münchner Secession d Phalanx und 1909 die Neui Künstlervereinigung Münche uusegwachse.,"1901 ging aus der Münchener Secession die Künstlergruppe Phalanx hervor, 1913 spaltete sich die Münchener Neue Secession ab.",3,Different details,TRUE,
1909 het mu nu zum üssärordentlichu Proffäsor annär Uni Züri birüäfu.,"1909 berief man ihn zum Dozenten für theoretische Physik an der Universität Zürich, bald zum außerordentlichen Professor.",3,The dialect sentence misses details,TRUE,
1930 isch ihre Name offiziell zu Istanbul gänderet worde.,"Am 28. März 1930, in der Frühzeit der Republik, wurde ""İstanbul"" zum offiziellen Namen der gesamten Stadt.",3,The dialect sentence misses details,TRUE,different phrasing
1950 hät er d Ursula Stauffenegger ghüroted.,Kurt Furgler war ab 1950 verheiratet und hatte sechs Kinder.,3,Different details,TRUE,
1991 henn se ihr Konzept no gändrt on sich en «Acapickel» ombenannd.,1991 malten sich die «Acapulcos» für einen Auftritt Pickel ins Gesicht und nannten sich fortan «Acapickels».,3,Different details,FALSE,
1994 het er noch dr Gründig vom Kanton Jura zum Kanton Basel-Landschaft gwäggslet.,1815 wurde die Gemeinde durch Entscheid des Wiener Kongresses dem Kanton Bern zugeordnet und wechselte 1994 zum Kanton Basel-Landschaft.,3,Different details,TRUE,
"1994 het s e Konferänz gee, wu ne neii Verfassig uusgschafft het, wu 1995 in Chraft drätten isch.",Die Verfassung von 1995 schreibt für jeden Distrikt eine Abgeordnete vor.,3,Different details,FALSE,
2001 het er ändgültig zum Stroosserenne gwächslet und isch für s Team Saeco gfahre.,In der Saison 2001 konzentrierte sich Evans auf den Straßenradsport und schloss sich dem italienischen Radsportteam Saeco an.,3,The dialect sentence misses details,TRUE,
2008 hed si ihres Come-Back bekannt gä und wot no einisch uf Tour go.,"Bei der Aufzeichnung der ""Oprah Winfrey Show"" gab Turner im April 2008 bekannt, erneut auf Tour zu gehen.",3,Different details,TRUE,
"52,6 % vo dr Iiwooner sind evangelisch-reformiert, 31,8 % sind römisch-katholisch (Stand 2000).","823 (37,1 %) waren evangelisch-reformiert und 633 (28,5 %) römisch-katholisch.",3,Major factual inconsistency,TRUE,
"53,1 % vo dr Iiwooner sind evangelisch-reformiert, 26,9 % sind römisch-katholisch (Stand 2000).","1022 (36,0 %) waren evangelisch-reformiert und 882 (31,1 %) römisch-katholisch.",3,Major factual inconsistency,FALSE,
Ädern ischt zom erschte Mol gnennt worda em 8.Jh.,Ederheim wurde erstmals im 8. Jahrhundert im Zusammenhang mit Schenkungen fränkischer Könige an das Kloster Fulda erwähnt.,3,The dialect sentence misses details,TRUE,
"Albersbach ischt om s gleichnamig Kloschter entstande, wo 1095 vom Bischof Gebhard III. vo Konschtanz grendet worde ischt,.","Alpirsbach entstand als Siedlung um das gleichnamige 1095 von Bischof Gebhard III. von Konstanz, einem Zähringer, geweihte Kloster Alpirsbach.",3,The dialect sentence misses details,TRUE,
Alli 88 Persone an Bord sy gstorbe.,"Das Flugzeug stürzte vor Los Angeles ins Meer, wobei alle 88 Personen an Bord getötet wurden.",3,The dialect sentence misses details,TRUE,
Also müess me alli Date einzeln und nochenand (seriell) us denne Schpicherberich usehole un in e sequentielli Schtruktur bringe.,Die Serialisierung ist in der Informatik eine Abbildung von strukturierten Daten auf eine sequenzielle Darstellungsform.,3,Different details,FALSE,
Altemẽẽschter leit en dr Region Augschburg.,Altenmünster ist eine Gemeinde im schwäbischen Landkreis Augsburg.,3,The dialect sentence misses details,FALSE,
"Am ""Schwyzerischen Idiotikon"" hät de Bickel zwäi groossi Projäkt uufgläiset: D Digitalisierig vom Wöörterbuech und s Semantikregischter.","Bickel initiierte den digitalen Zugang zum ""Schweizerdeutschen Wörterbuch"" sowie dessen digitales Semantikregister.",3,Different details,FALSE,
"Am 1. August 2013 isch er zum erschte Mol ""in letschter Instanz"" zuen ere Haftstrof vo vier Johr verurdailt worde.","Am 1. August 2013 wurde er wegen Steuerbetrugs im Fall Mediaset erstmals ""letztinstanzlich"" zu einer Haftstrafe von vier Jahren verurteilt.",3,The dialect sentence misses details,TRUE,
Am 22. Juni 1941 isch dr Russlandfeldzug losganga.,Der Angriff fand erst am 22. Juni 1941 statt.,3,Different details,TRUE,sligh diff. in meaning
Am 25. Februar 1947 het de Alliierte Kontrollrat d Uflösig vu Praiße bschlosse.,Am 25. Februar 1947 beschloss der Alliierte Kontrollrat per Kontrollratsgesetz Nr. 46 die Auflösung Preußens.,3,The dialect sentence misses details,FALSE,
Am 7 April 1823 hän d'Franzose d'Gränz überschritte.,Am 7. April 1823 marschierten die französischen Truppen unter dem Oberbefehl des Herzogs von Angoulême in Spanien ein.,3,The dialect sentence misses details,TRUE,
Am Dorfrand finded mer herrlichi Ussichtspunkt.,"Am Dorfrand findet man Aussichtspunkte, von denen man bei günstiger Witterung den ganzen Bodensee überblicken kann.",3,The dialect sentence misses details,FALSE,
"Anne 1128 ischt zome erschte Mol dr Ort ""Obrostetten"" gnennt worde, 1392 dr Burgstall ""zem Stainhuse"".","1128 wurde erstmals ein Ort ""Obrostetten"" genannt, später als ""Oberstetten"".",3,Different details,TRUE,
Anne 2007 hän si zäme d Firma „Okofilm Productions“ grindet.,"2007 gründete sie die Produktionsfirma ""Oko Film"" mit Sitz in Zürich, zusammen mit ihrem damaligen Mann Thomas Imbach.",3,The dialect sentence misses details,TRUE,
Asè isch s Durrèbindè vo dèrè Strecki bis noch Donaueschingè erscht am 20. August 1901 fertiggschtellt worrè.,Die Bauarbeiten begannen erst 1898 und die Durchbindung der Strecke bis nach Donaueschingen erfolgte am 20. August 1901.,3,The dialect sentence misses details,FALSE,
Bad Mergentheim lyt an dr Tauber an dr Yymindig vu dr Wachbach un in dr Sytedäler vu dr Tauber.,"Bad Mergentheim liegt in Tauberfranken, einem baden-württembergischen Teil Frankens in einer Talweitung der Tauber an der Einmündung der Wachbach.",3,The dialect sentence misses details,FALSE,
"Baodmer (amtlich ""Großbottwar"") ischt a Stadt em Landkroes Ludisburg en Bade-Wirttebärg.",Großbottwar ist eine Kleinstadt mit einem historischen Ortskern im Landkreis Ludwigsburg in Baden-Württemberg.,3,The dialect sentence misses details,FALSE,
Bekannti Fuessballtrainer ussem Wiisedal sin dr Joachim Löw un dr Ottmar Hitzfeld.,In Lörrach wurden unter anderem die Fußballspieler Sebastian Deisler und Melanie Behringer sowie Trainer Ottmar Hitzfeld geboren.,3,Different details,FALSE,"Lörrach is part of
Wiisedal"
Bi Groossdier cha mä d Äierstöck rektal gspüüre.,Bei Großtieren lassen sich die Eierstöcke rektal (man geht mit dem Arm über den After vor) ertasten.,3,The dialect sentence misses details,FALSE,
Bimene Opferfest z Laurentum isch er umbrocht wore und deno ufem Aventin bigrabe wore.,Sein Grab war auf dem Aventin errichtet.,3,The dialect sentence adds details,TRUE,
"Bir Vouchszeuuig 2000 hei vo de 156 Ywohner 97,4 % Dütsch aus Houptsprach aaggää u 0,6 % Französisch.","Von den Bewohnern sind 97,4 % deutschsprachig, 0,6 % französischsprachig und 0,6 % sprechen Spanisch (Stand 2000).",3,The dialect sentence adds details,TRUE,
"Bir Vouchszeuuig 2000 hei vo de 990 Ywohner 97 % Dütsch aus Houptsprach aaggää, 0,5 % Französisch u 0,3 % Italienisch.","Von den Bewohnern sind 97,0 % deutschsprachig, 0,6 % sprechen Serbokroatisch und 0,5 % Französisch (Stand 2000).",3,Different details,FALSE,
"Corsier isch zum erschte Mol gnännt wore anne 1297 as ""Corsiacum"".","1297 wurde der Ort als ""Corsiacum"" erwähnt.",3,Different details,TRUE,
"D Albula (uf Rätoromanisch ""Alvra"") isch der gröscht Näbefluss vom Hinterrhy im Bündnerland.","Die etwa 41 Kilometer lange Albula (rätoromanisch ""Alvra""), die im Schweizer Kanton Graubünden verläuft, ist der grösste Nebenfluss des Hinterrheins.",3,The dialect sentence misses details,FALSE,
D Amtsduur beträit jedoch in allne Kantön vier Jahr.,Alle Kantone haben als Wahlmodus die unmittelbare Wahl durch das Kantonsvolk bestimmt und die Amtsdauer auf vier Jahre festgelegt.,3,The dialect sentence misses details,FALSE,
D Band isch 1994 entstande.,"Die Spicy Roots sind eine Musikgruppe aus Schwieberdingen, die 1994 gegründet wurde und zu den bekanntesten Ska-Bands Deutschlands gehört.",3,The dialect sentence misses details,TRUE,
"D Bestimmige vom Vertrag si äänlig wie die vom Nordatlantikvertrag (NATO) gsi, aber vollkomme andersch usgleit worde.",Der Wortlaut des zugrundeliegenden Vertrags ähnelt in weiten Teilen dem des Nordatlantikvertrages.,3,The dialect sentence adds details,TRUE,
D Bilder sind vom Maler Alois Carigiet.,"Selina Chönz verfasste den Text, die Illustrationen stammen von Alois Carigiet.",3,The dialect sentence misses details,FALSE,
D Chile stoot im Stadtdeil Hottinge am Ändi vo dr Apollostrooss.,Die Kirche wurde als optischer Zielpunkt in der Blickachse der Apollostrasse geplant.,3,Different details,FALSE,
"D Gmaiflechi umfasst 73,1 % landwirtschaftligi Flechi, 8,1 % Wald, 18,8 % Sidligsflechi.","Von der Gemeindefläche entfielen 1997 19 % auf Siedlungen, 8 % auf Wald und Gehölze und 73 % auf Landwirtschaft.",3,Minor factual inconsistency,TRUE,grammar changes meaning
"D Gmaiflechi umfasst 79,2 % landwirtschaftligi Flechi, 13 % Wald un 7,7 % Sidligsflechi.","Von der Gemeindefläche entfielen 1997 8 % auf Siedlungen, 13 % auf Wald und Gehölze und 79 % auf Landwirtschaft.",3,Minor factual inconsistency,TRUE,grammar changes meaning
D Gmeind ghört zum Bezirk Dälschberg.,"Sie liegt im Osten des Bezirks Delsberg und entstand durch die Fusion der bisherigen Gemeinden Montsevelier, Vermes und Vicques.",3,The dialect sentence misses details,FALSE,
D Gmeind liit öschtlich vom Griiffesee.,"Die Gemeinde liegt östlich des Greifensees, 13 Kilometer entfernt von Zürich.",3,The dialect sentence misses details,FALSE,
D Gruft under de Chile dienet sit 1869 as Grablegi vo de Bischöf vom Bischtum Rotteburg-Stuttgart.,1868 erhielt sie eine neue Bedeutung als Grablege der Rottenburger Bischöfe.,3,The dialect sentence adds details,FALSE,minor factual inconsistency
D heitich Gmoed ischt zom 1. Juli 1972 entstanda durch dr Zammaschluss vo Refinga ond Roßhaupta.,Im Zuge der Gebietsreform schlossen sich am 1. Juli 1972 die Gemeinden Röfingen und Roßhaupten zusammen.,3,Different details,TRUE,
"D Hode si d Produktionsstelle vo de männlige Keimzelle, de Spermie.","Sie sind das Bildungsgewebe der männlichen Keimzellen, der Spermien, und sind gleichzeitig Hormondrüsen.",3,Different details,FALSE,
D Palme gältid am Mittelmeer als heiligi Bäum.,"Palmen wurden vielerorten als heilige Bäume verehrt, waren etwa in Delos dem Apollon heilig.",3,Different details,FALSE,
D Rägeziit goht vom Mai bis zum Novämber und Trochziit vom Dezämber bis am Aprel.,"Die Regenzeit erstreckt sich im Zentraltal und im nordwestlichen Landesteil von Mai bis November, die Trockenzeit von Dezember bis April.",3,The dialect sentence misses details,FALSE,
D Thur isch e Fluss im Elsass.,Die Thur ist ein gut 53 km langer linker Nebenfluss der Ill im Elsass (Region Grand Est).,3,The dialect sentence misses details,FALSE,
D Ufdeckig vom Ficheskandal het die schwiizerischi Öffentlichkeit stark bewegt.,Die Aufdeckung des Fichenskandals mit dem Bericht im November 1989 bewegte die schweizerische Öffentlichkeit stark.,3,The dialect sentence misses details,TRUE,
D'Idee vom Freud si hüt no heftig diskutiert.,Dennoch waren Freuds Theorien von Anfang an unterschiedlichster Kritik ausgesetzt.,3,Different details,TRUE,"grammar changes 
meaning slightly"
D'Posune isch es tüfs Blächblosinstrument.,"Die Posaune ist ein tiefes Blechblasinstrument, das wegen seiner weitgehend zylindrischen Bohrung (enge Mensur) zu den Trompeteninstrumenten zählt.",3,The dialect sentence misses details,FALSE,
D’Kirchaglocka leidet zom Fescht; abr o i Glock isch ganz still.,Nur eine Glocke bleibt stumm.,3,The dialect sentence adds details,FALSE,
Dä bestoot us reduzierende und us oxidierende Komponänte.,Sowohl reduzierende als auch oxidierende Komponenten werden als feste Stoffe gebunden mitgeführt.,3,The dialect sentence misses details,FALSE,
Das Dorf lyt i dr Ebeni vom undere Suuretaal a der Suure.,"Das Dorf liegt in einer weiten Ebene an der Suhre, kurz vor der Mündung der Wyna.",3,Different details,FALSE,
"Das isch s Radio vo dr Multimedia-Generation, mit jugendligem Don und Tempo.","DRS Virus verstand sich als das „Radio der Multimedia-Generation“, mit jugendlichem Ton und Tempo.",3,The dialect sentence misses details,FALSE,
"Dè Berych unterhalb vom Weer wörd als Unterwasser, dè obberhalb als Obberwasser benamst.","Der Bereich in tatsächlicher oder potentieller Gewässerfließrichtung unterhalb des Wehres wird als Unterwasser, der oberhalb als Oberwasser bezeichnet.",3,The dialect sentence misses details,FALSE,
De Ministerpräsident dient als Regierigschef und d Knesset als Eichammereparlamänt.,"Regierungschef ist der von der Knesset eingesetzte Ministerpräsident; das Staatsoberhaupt ist der Staatspräsident, der überwiegend repräsentative Aufgaben erfüllt.",3,The dialect sentence misses details,FALSE,
"De Nôme ""Sampi"" isch sit'm Mittelalter defir verwendet worre.",In den mittelalterlichen Handschriften erhielt das Sampi seine heutige Form Ϡ.,3,Different details,FALSE,
"De Norde het de Chrieg gwune, da si bevöukerigsmässig u o würtschaftlech im Süde starch uberläge gsi sin.",Die Nordstaaten gingen als Sieger aus dem Bürgerkrieg hervor und die Sklaverei wurde gesetzlich abgeschafft.,3,Different details,FALSE,
"De Schtaatsname heisst dann quasi ""Vom Wasser zum Wasser"" und gmeint isch s Wasser vom Fluss, wo Richtig Atlantik flüsst.","Der Name des Flusses, nach dem auch der Staat benannt ist, stammt von der Sprache der Ureinwohner, Guaraní.",3,Different details,FALSE,
