Bavarian,German,Meaning
Schlittenhart is a Ortstei vo da Stod Treuchtlingen im Regiarungsbeziak middlfränkischn Landkroas Weißenburg-Gunzenhausen in Bayern.,"Schlittenhart ist ein Gemeindeteil der Stadt Treuchtlingen im Landkreis Weißenburg-Gunzenhausen (Mittelfranken, Bayern).",5.0
Alna is a estlicha Stodtei vo da norwegischn Haptstod Oslo.,Alna ist ein östlicher Stadtteil der norwegischen Hauptstadt Oslo.,5.0
Da Ringelbach is a Boch im middlfränkischn Landkroas Weißenburg-Gunzenhausen.,Der Ringelbach ist ein Bach im mittelfränkischen Landkreis Weißenburg-Gunzenhausen.,5.0
"Draust hods a Feiagfecht gehm, Cole, Bob und da Jim Younger san ogschossn gwen.","Beim Verlassen der Bank wurden in einem Feuergefecht die draußen stehenden Bandenmitglieder Cole, Bob und Jim Younger verletzt.",4.0
The American Heritage Dictionary of the English Language (AHD) is a Weatabuach vo da englischn Sproch.,The American Heritage Dictionary of the English Language (AHD) ist ein Wörterbuch der englischen Sprache.,5.0
"De Nochboagmoana san Baldichieri d’Asti, Cantarana, Castellero, Dusino San Michele, Maretto, Monale, Roatto, San Paolo Solbrito und Tigliole.","Die Nachbargemeinden sind Baldichieri d’Asti, Cantarana, Castellero, Dusino San Michele, Maretto, Monale, Roatto, San Paolo Solbrito und Tigliole.",5.0
"Da Bezirk hod a Fläche vo 2367 Quadratkilometa, dovo san 0 Quadratkilometa Wossafläche.","Das County liegt im Westen von Kansas, grenzt an Colorado und hat eine Fläche von 2367 Quadratkilometern ohne nennenswerte Wasserfläche.",4.0
De Tiakn hom mid 3000 Kamö umma 300 Gschitz und Munizion midgfiat.,Von den mehr als 3500 bewaffneten Bürgern der Stadtmiliz blieben lediglich 300 bis 400 zurück.,
"Esselbach woar 1939 oane vo de 47 Gmoana im Landkroas Marktheidenfeld (Kfz-Kennzeichn ""MAR"").",Esselbach war nun eine der 47 Gemeinden im Landkreis Marktheidenfeld.,4.0
Da middlare Obfluss betrogd 51 m³/s.,Der mittlere Abfluss beträgt 51 m³/s.,5.0
Des passiat mid Hosts-Datein vo vaschiedane Quelln de AdAway automadisch kombiniad.,"Dies geschieht mit Hilfe von Hosts-Dateien von verschiedenen Quellen, die automatisch kombiniert werden.",4.0
Leuthenmühle is a Ortstei vom niedabayerischn Moakt Ruhmannsfeldn im Landkroas Reng.,Leuthenmühle ist ein Ortsteil des niederbayerischen Marktes Ruhmannsfelden im Landkreis Regen.,5.0
"Om hod's Eihwohna, af ana Fläch vo 341 km² zehjd.","Am zählte sie Einwohner, auf einer Fläche von 341 km².",5.0
Dea Flammpunkt liagt bei 96 °C.,Der Flammpunkt liegt bei 96 °C.,5.0
A Stamm (‚Phylum‘) is in da biologischen Systematik a hierarchische Rangstuafa.,Der Stamm ist in der biologischen Systematik eine hierarchische Rangstufe der Taxonomie.,5.0
Da Vizepredident vo da USA is imma da President vom Senat.,Der Vorsitzende des Senats bekleidet einen Sitz vor dem Plenum.,5.0
"Da ""Rohrwiesenbach"" entspringt zwischn da A 3 und da ehemolign B 8, direkt an da ""Raststätte Spessart"", im ""Rohrbrunna"".","Der ""Rohrwiesenbach"" entspringt zwischen der Bundesautobahn 3 und der ehemaligen Bundesstraße 8, direkt an der ""Raststätte Spessart"", im ""Rohrbrunnen"".",4.0
Berihmt is s duach de Schlocht aufm Lechfeld (955) worn.,Berühmt geworden ist es durch die Schlacht auf dem Lechfeld (955).,5.0
Pattadakal is a Oatschoft im Bundesstoot Karnataka in Indien.,"Pattadakal (auch ""Pattadakall"", ) ist ein Ort mit ca. 2.500 Einwohnern im Distrikt Bagalkot im südindischen Bundesstaat Karnataka.",4.0
"De Barone (Freiherrn) vo Königsfeld hamm se ganz schee gmausert, es hod ned lang braucht, na hanns Reichsgrafn gwen (1685).",Das Schloss erlebte seine Blütezeit unter dem Reichsgrafen Johann Georg II. von Königsfeld († 1750).,2.0
"Da Zentbach is a knopp nein Kilometa longa, rechta und nordöstlicha Nemfluss vom Main im obafränkischn Moakt Mainleus (Landkroas Kulmbach).","Der Zentbach ist ein knapp neun Kilometer langer, rechter und nordöstlicher Nebenfluss des Mains im oberfränkischen Markt Mainleus (Landkreis Kulmbach).",5.0
A weitare Sengswiadigkeit is's 1979 earichdde Unobhängigkeitsdenkmoi.,Eine weitere Sehenswürdigkeit ist das 1979 errichtete Unabhängigkeitsdenkmal.,5.0
Prappach is a Stodtei vo da Kroasstod Haßfurt vom Landkroas Haßberge im Regierungsbezirk Untafrankn in Bayern.,Prappach ist Stadtteil der Kreisstadt Haßfurt des Landkreises Haßberge im Regierungsbezirk Unterfranken in Bayern.,5.0
De wern emfois vom Bundespräsidentn anennt und vom Bundesdogspräsident vaeidigt.,Diese werden ebenfalls vom Bundespräsidenten ernannt und vom Bundestagspräsidenten vereidigt.,5.0
"Stottdessn hot Hengersberg a Rentamt erhoitn, des 1809 noch Neadaoida valegt und 1823 mit dem vo Degndorf vaeinigt worn is.","Stattdessen erhielt Hengersberg ein Rentamt, das etwa 1809 nach Niederalteich verlegt und etwa 1823 mit dem von Deggendorf vereinigt wurde.",5.0
Duachn Ort fiaht de Stootsstroß 2307.,Durch den Ort führt die Staatsstraße 2307.,5.0
"Da Zuasotz ""am Main"" untascheidt Dettingen vo weitan gleichnomign Ortn.","Der Zusatz ""am Main"" unterscheidet Dettingen von weiteren gleichnamigen Orten.",5.0
Steineweiler is a Ortstei vo da Groußn Kroasstod Dinkelsbühl im Landkroas Ansbach in Middlfrankn.,"Steineweiler ist ein Gemeindeteil der Großen Kreisstadt Dinkelsbühl im Landkreis Ansbach (Mittelfranken, Bayern).",5.0
"Bessenbach hod sein Noma vom gleichnomign Bessenbach, der duachs Gmoagebiet fliaßt und in de Aschaff mindt.","Bessenbach hat seinen Namen vom gleichnamigen Bessenbach, der durch das Gemeindegebiet fließt und in die Aschaff mündet.",5.0
Sitz vo da 1978 grindtn Vawoitungsgmoaschoft is Wackersdorf.,Sitz der 1978 gegründeten Verwaltungsgemeinschaft ist Wackersdorf.,5.0
"Da BAS findd sei Owendung ba da Oabatsvoabereitung, indem de untaschiedlichn Posiziona vo om Leistungsvazeichnis za Oabatsvoagäng zammgfossd wean.","Der BAS findet seine Anwendung bei der Arbeitsvorbereitung, indem die unterschiedlichen Positionen eines Leistungsverzeichnisses zu Arbeitsvorgängen zusammengefasst werden.",5.0
Freundstal is a Ortstei vo da Groußn Kroasstod Dinkelsbühl im Landkroas Ansbach in Middlfrankn.,"Freundstal ist ein Gemeindeteil der Großen Kreisstadt Dinkelsbühl im Landkreis Ansbach (Mittelfranken, Bayern).",5.0
Noch om Beschluss vom Regionoirod isa zum 1. Oktoba 2016 vom Conseil d’État ois endguitiga Nam bstätigd worn.,Nach einem Beschluss des Regionalrats wurde er zum 1. Oktober 2016 vom Conseil d’État als endgültiger Name bestätigt.,5.0
De Vawoitungsgmoaschoft Babenhausen (amtli: Verwaltungsgemeinschaft Babenhausen) im schwäbischn Landkroas Untaallgai bsteht seit da Gmoagebietsreform am 1. Mai 1978.,Die Verwaltungsgemeinschaft Babenhausen im schwäbischen Landkreis Unterallgäu besteht seit der Gemeindegebietsreform am 1. Mai 1978.,5.0
"Vo 950 bis 990 is s Glousta ""Kollegiatstift ""gwen.","Dieses Stift bestand von 950 bis 990, wonach die Benediktinermönche zurückkehrten.",1.0
"Nochboagmoana san (vo Nordn ogfronga im Uahzoagasinn): Marktbreit, Martinsheim, Gollhofen, Hemmersheim und Ochsenfurt.","Nachbargemeinden sind (von Norden beginnend im Uhrzeigersinn): Marktbreit, Martinsheim, Gollhofen, Hemmersheim und Ochsenfurt.",5.0
Duach diese Lodungsvaschiebung kriagst a Potenziäudifferenz eine und des is nix aundas ois wiara elektrische Spaunnung.,Diese Ladungsverschiebung bewirkt eine Potentialdifferenz und erzeugt eine elektrische Spannung zwischen den Enden des Leiters.,4.0
De Buag is aa a Jugndherberg vom DJH.,Die Burg ist auch eine Jugendherberge des DJH.,5.0
Bis 1978 hod Kleinhögl zua Gmoa Högl gheat.,Bis zu deren Auflösung 1978 gehörte Kleinhögl zur Gemeinde Högl.,5.0
"De paradoxe Käidnempfindung entstähd wohrscheins duach a kuazzeidige Entlodung vo de Koidrezeptorn, wo si so ähnli wia a Nozizeptor vahoidn.","Die paradoxe Kälteempfindung entsteht wahrscheinlich durch eine kurzzeitige Entladung der Kaltrezeptoren, die sich dann ähnlich wie ein Nozizeptor verhalten.",5.0
Fuchsstadt is a Gmoatei vom Moakt Stadtlauringen im untafränkischn Landkroas Schweinfurt mid uma 180 Eihwohna.,Fuchsstadt ist ein Gemeindeteil des Marktes Stadtlauringen im unterfränkischen Landkreis Schweinfurt mit etwa 180 Einwohnern.,5.0
"Es existian foigende Gemarkung: Grattersdorf, Nabin, Oberaign, Winsing.","Es gibt die Gemarkungen Grattersdorf, Nabin, Oberaign und Winsing.",5.0
Tebay in The Cumbria Directory.,Tebay in The Cumbria Directory (englisch).,
A neuchare Auffüahrung håt 2011 bei de Nestroy-Spiele Schwechat ståttg'fund'n.,Eine neuere Aufführung fand 2011 bei den Nestroy-Spielen Schwechat statt.,5.0
De Gspanschoft Krapina-Zagorje is in 7 Städt und 25 Gmoana gliedad.,Die Gespanschaft Krapina-Zagorje ist in 7 Städte und 25 Gemeinden gegliedert.,5.0
"Da Saint John River teid's County in Ost - West Richtung, im Noadostn fliassd da Southwest Miramichi River.","Der Saint John River teilt das County in Ost-West-Richtung, im Nordosten fließt der Southwest Miramichi River.",5.0
Vo duat bis zua Ortsgrenz vo Kälberau hod da Speichenbach koa fests Bochbett.,Von dort bis zur Ortsgrenze von Kälberau hat der Speichenbach kein festes Bachbett.,5.0
"Da Beziak hod a Fläche vo 2.164 Quadratkilometa, dovo san 19 Quadratkilometa Wossafläche.","Das Drew County hat eine Fläche von 2164 Quadratkilometern, wovon 19 Quadratkilometer Wasserfläche sind.",5.0
Se hod 160.475 Eihwohna (Stand: 2009).,Sie zählt 147.826 Einwohner (Stand: 2017).,2.0
"Garoowe hod uma 51.000 Eihwohna und is de fimftgreßte Stod vo da Region noch: Boosaaso, Gaalkacyo, Goldogob und Laascaanood.","Garoowe hat etwa 50.000 Einwohner und ist die fünftgrößte Stadt der Region nach Boosaaso, Gaalkacyo, Goldogob und Laascaanood.",4.0
Von 1851 bis 1859 håt da Binder de Bühnanmusi füa'r etliche Stückln vom Johann Nestroy komponiat.,Von 1851 bis 1859 schrieb er die Bühnenmusik für mehrere Stücke von Johann Nepomuk Nestroy.,4.0
Am 1. Mai 1978 is de Eihgmoanung in de Gmoa Mickhausen eafoigt.,Am 1. Mai 1978 erfolgte die Eingemeindung in die Gemeinde Mickhausen.,5.0
Ob Ofong vom 19. Joarhundad hod Schwarzach mid seim Haptort Seligenporten a eigane Gmoa buidt.,Ab Anfang des 19. Jahrhunderts bildete Schwarzach mit seinem Hauptort Seligenporten eine eigene Gemeinde.,4.0
"De Gmoa bstähd aus de Orte: ""Gsteig"" und ""Feutersoey"".","Die Gemeinde besteht aus den Orten ""Gsteig"" und ""Feutersoey"".",5.0
